family,method,swap_fraction,gamma_label,config_label,mean_cross_scenario_rrmse,bca_ci95_low,bca_ci95_high,bca_bias_correction_z0,bca_acceleration,n_scenarios,n_bootstrap
gwas,mcmc_is_no_oracle,0.05,0.4,"MCMC–IS: 5%, \gamma=0.4",0.09494240502505132,0.0881649810548025,0.10381221708854337,0.07473193280594169,0.03578137683714786,80,1000000
gwas,mcmc_is_no_oracle,0.025,0.4,"MCMC–IS: 2.5%, \gamma=0.4",0.0975233720335772,0.09103691508382995,0.10533608432103336,0.07722318217748148,0.02425091789628308,80,1000000
gwas,mcmc_is_no_oracle,0.05,0.333333333333,"MCMC–IS: 5%, \gamma=1/3",0.09873689838326345,0.09186456244495537,0.10713259545697511,0.086106193767027,0.025492410190203263,80,1000000
gwas,mcmc_is_no_oracle,0.1,0.333333333333,"MCMC–IS: 10%, \gamma=1/3",0.10130961924231312,0.09335816881012111,0.11299661137959859,0.10205124467476932,0.05082299783080887,80,1000000
gwas,mcmc_is_no_oracle,0.1,0.4,"MCMC–IS: 10%, \gamma=0.4",0.10953800002220268,0.10133584811145223,0.11937659815078253,0.07252513914405992,0.026259269771290217,80,1000000
gwas,mcmc_is_no_oracle,0.025,0.333333333333,"MCMC–IS: 2.5%, \gamma=1/3",0.11278672997503465,0.1021404533744682,0.13059656793375715,0.10871568596461946,0.07146126810177145,80,1000000
gwas,mcmc_is_no_oracle,0.025,0.5,"MCMC–IS: 2.5%, \gamma=0.5",0.1573368109994809,0.14475348319883755,0.17422851789745833,0.08584453916608616,0.039310454265280174,80,1000000
gwas,mcmc_is_no_oracle,0.05,0.5,"MCMC–IS: 5%, \gamma=0.5",0.1590536205650627,0.14524342708112864,0.18109544332093103,0.09797014516813674,0.0625838224880032,80,1000000
gwas,samc,0.05,none,SAMC: 5%,0.175593234488744,0.17004756249477945,0.1828094620118556,0.1638922096167482,0.017778154359028436,80,1000000
gwas,mcmc_is_no_oracle,0.1,0.5,"MCMC–IS: 10%, \gamma=0.5",0.17938866440446755,0.16528737089674458,0.19862692114921124,0.09286602146831992,0.041281326536266205,80,1000000
gwas,samc,0.1,none,SAMC: 10%,0.20248282457633443,0.19514378277280128,0.21116772251955593,0.15700868926206848,0.007361335808036674,80,1000000
gwas,mcmc_is_no_oracle,0.1,0.25,"MCMC–IS: 10%, \gamma=0.25",0.24846402303263967,0.2109656898686854,0.305994547901849,0.10903592016174628,0.06488476162059831,80,1000000
gwas,mcmc_is_no_oracle,0.05,0.25,"MCMC–IS: 5%, \gamma=0.25",0.2623613072406019,0.23311258482467756,0.31053866935238844,0.12207957205054586,0.06927743618150285,80,1000000
gwas,mcmc_is_no_oracle,0.025,0.25,"MCMC–IS: 2.5%, \gamma=0.25",0.2691128991629243,0.2391245515750885,0.3137293171245301,0.08800839976927578,0.0613557645552115,80,1000000
hep,mcmc_is_no_oracle,0.05,0.4,"MCMC–IS: 5%, \gamma=0.4",0.07204607062348828,0.06639211346185643,0.07841325278625219,0.061209957080734054,0.018751238495911194,80,1000000
hep,mcmc_is_no_oracle,0.1,0.4,"MCMC–IS: 10%, \gamma=0.4",0.07401861397824679,0.06837238011565837,0.08098694632664812,0.07177873018988948,0.029709856891645587,80,1000000
hep,mcmc_is_no_oracle,0.025,0.4,"MCMC–IS: 2.5%, \gamma=0.4",0.07858126532684709,0.07276591143181833,0.0873295208437556,0.09401152708899102,0.051578029084498656,80,1000000
hep,mcmc_is_no_oracle,0.1,0.333333333333,"MCMC–IS: 10%, \gamma=1/3",0.08107456338995132,0.07106087284987525,0.09958197891559013,0.11969848566444118,0.09034696576055283,80,1000000
hep,mcmc_is_no_oracle,0.05,0.5,"MCMC–IS: 5%, \gamma=0.5",0.0854078672513533,0.07910391731803593,0.09306698597213256,0.07855573126899575,0.025504300088907438,80,1000000
hep,samc,0.05,none,SAMC: 5%,0.08664513294791915,0.08370669619058423,0.09012365299126668,0.1452670867594688,0.00847796810101273,80,1000000
hep,mcmc_is_no_oracle,0.05,0.333333333333,"MCMC–IS: 5%, \gamma=1/3",0.08818919418919227,0.08096761237266871,0.10159361092011193,0.11570290987158025,0.08389787463700499,80,1000000
hep,samc,0.1,none,SAMC: 10%,0.1002999400138769,0.0964987385273147,0.10507784904435337,0.14953182365348408,0.016383270934862075,80,1000000
hep,mcmc_is_no_oracle,0.1,0.5,"MCMC–IS: 10%, \gamma=0.5",0.11054339640504703,0.09996842217189449,0.13075279827688305,0.12047358921469432,0.08590518400106606,80,1000000
hep,mcmc_is_no_oracle,0.025,0.5,"MCMC–IS: 2.5%, \gamma=0.5",0.11276430909677385,0.10261516377893673,0.12628745803040836,0.0770622799145493,0.040356584445144075,80,1000000
hep,mcmc_is_no_oracle,0.025,0.333333333333,"MCMC–IS: 2.5%, \gamma=1/3",0.11339799440560457,0.09956685065277679,0.1384841548499358,0.11721207299673982,0.08893269911994917,80,1000000
hep,mcmc_is_no_oracle,0.05,0.25,"MCMC–IS: 5%, \gamma=0.25",0.2094086125021556,0.18736404374241597,0.24101944946949255,0.07576256411111579,0.05262555866271724,80,1000000
hep,mcmc_is_no_oracle,0.1,0.25,"MCMC–IS: 10%, \gamma=0.25",0.2350725185119638,0.1806667233451746,0.32765547215326346,0.14224308607772793,0.10684658877997959,80,1000000
hep,mcmc_is_no_oracle,0.025,0.25,"MCMC–IS: 2.5%, \gamma=0.25",0.32509138387673414,0.25062350626947777,0.5021552179896874,0.16514481496687183,0.14677181046881455,80,1000000
