family,budget,mcmc_is_rrmse,samc_rrmse,rrmse_ratio,ratio_bca_ci95_low,ratio_bca_ci95_high,bootstrap_resamples,bootstrap_pairing
GWAS-like,500000,0.18598820872507735,0.33354766966604205,0.5576060804480941,0.45,0.684,1000000,scenario
GWAS-like,1000000,0.13096751998052145,0.24320191926426246,0.5385135132844595,0.456,0.631,1000000,scenario
GWAS-like,2500000,0.08655022549031594,0.1497874730469483,0.577820185691952,0.475,0.704,1000000,scenario
GWAS-like,5000000,0.06837256565389338,0.10952849031274654,0.6242445728838502,0.481,0.807,1000000,scenario
HEP-like,500000,0.14329985201846376,0.14200657480356063,1.00910716434568,0.806,1.272,1000000,scenario
HEP-like,1000000,0.10413667318612689,0.12191948582050248,0.8541429820286762,0.716,1.006,1000000,scenario
HEP-like,2500000,0.07145110706095953,0.08403099451274046,0.8502946737126428,0.659,1.066,1000000,scenario
HEP-like,5000000,0.04334650408319063,0.05936482025170443,0.7301715713010367,0.595,0.887,1000000,scenario
