family,method,checkpoint,checkpoint_millions,n_scenarios,rrmse,median_are,mean_phat_over_p,mean_relative_bias,false_negative_count,false_negative_rate
hep,samc,2750000,2.75,80,0.07196529996773376,0.05131392293633669,0.9889891838276494,-0.011010816172350618,3,0.0375
gwas,mcmc_is_no_oracle,3000000,3.0,80,0.08007613985390408,0.061611720377576784,1.0048005004475207,0.004800500447520678,12,0.15
gwas,samc,3000000,3.0,80,0.14992790177661633,0.11892519543387964,1.003010177806504,0.0030101778065039636,21,0.2625
hep,mcmc_is_no_oracle,3000000,3.0,80,0.06545697572991671,0.043527674535070005,1.003076739074965,0.0030767390749650873,3,0.0375
hep,samc,3000000,3.0,80,0.0733648509175341,0.04364710940161953,0.9885927315285723,-0.011407268471427614,2,0.025
gwas,mcmc_is_no_oracle,3250000,3.25,80,0.08063701841506002,0.06354665071770338,1.0059057797264388,0.005905779726438862,11,0.1375
gwas,samc,3250000,3.25,80,0.13950805738188962,0.08755721546713102,0.9807060124904539,-0.019293987509546154,11,0.1375
hep,mcmc_is_no_oracle,3250000,3.25,80,0.06160422053804979,0.04133213756975296,1.0034779022125786,0.0034779022125785083,3,0.0375
hep,samc,3250000,3.25,80,0.08019537231389595,0.06019760228059712,1.0013473276591576,0.0013473276591575683,4,0.05
gwas,mcmc_is_no_oracle,3500000,3.5,80,0.0799624144129052,0.06206378122119305,1.0090906307884613,0.009090630788461266,12,0.15
gwas,samc,3500000,3.5,80,0.12521907619346578,0.07992236924173562,0.9958392921308068,-0.004160707869193092,12,0.15
hep,mcmc_is_no_oracle,3500000,3.5,80,0.05678910857680242,0.0378193118764516,1.003552833103716,0.003552833103716009,2,0.025
hep,samc,3500000,3.5,80,0.0626226289686981,0.04709177297218037,1.0003485989365974,0.0003485989365972747,4,0.05
gwas,mcmc_is_no_oracle,3750000,3.75,80,0.07570551263959588,0.05101133826175569,1.0093560216117239,0.009356021611723959,13,0.1625
gwas,samc,3750000,3.75,80,0.13093009984267337,0.09334707094495143,0.9774053421367845,-0.022594657863215437,9,0.1125
hep,mcmc_is_no_oracle,3750000,3.75,80,0.05269785888944558,0.03429814239971907,1.0025043547003256,0.002504354700325652,3,0.0375
hep,samc,3750000,3.75,80,0.06209336031256884,0.051472462079212855,0.9962493999223525,-0.0037506000776473284,4,0.05
gwas,mcmc_is_no_oracle,4000000,4.0,80,0.0711462226357226,0.04722660245482435,1.0115712976639877,0.011571297663987705,12,0.15
gwas,samc,4000000,4.0,80,0.13319382290744958,0.09032634032634024,0.9988294359908565,-0.0011705640091435154,16,0.2
hep,mcmc_is_no_oracle,4000000,4.0,80,0.04683586488141355,0.02990444544716747,1.0018725914604718,0.0018725914604719063,3,0.0375
hep,samc,4000000,4.0,80,0.07215990161775565,0.05239094722340576,1.0000714663348067,7.146633480670101e-05,4,0.05
gwas,mcmc_is_no_oracle,4250000,4.25,80,0.07373724936422771,0.04855345911949693,1.0139751142366744,0.013975114236674385,10,0.125
gwas,samc,4250000,4.25,80,0.13000926413711852,0.08818677619175869,0.9882835598448991,-0.011716440155100908,12,0.15
hep,mcmc_is_no_oracle,4250000,4.25,80,0.04458728123908809,0.03832715889832361,1.002604072405873,0.002604072405872876,3,0.0375
hep,samc,4250000,4.25,80,0.0727422966108118,0.04142908241448312,0.99835495125478,-0.0016450487452200346,4,0.05
gwas,mcmc_is_no_oracle,4500000,4.5,80,0.07139356004402556,0.04097097992446824,1.013118798661548,0.013118798661547961,11,0.1375
gwas,samc,4500000,4.5,80,0.10795707743153869,0.0869537293825719,0.9709458631914609,-0.02905413680853904,10,0.125
hep,mcmc_is_no_oracle,4500000,4.5,80,0.04284564759607587,0.03294293360491568,1.0005424363062942,0.0005424363062944401,1,0.0125
hep,samc,4500000,4.5,80,0.06252752610059645,0.03418825875178261,1.0011165858166726,0.0011165858166725814,4,0.05
gwas,mcmc_is_no_oracle,4750000,4.75,80,0.06938915785323153,0.043933054393305415,1.015607099479093,0.015607099479092907,12,0.15
gwas,samc,4750000,4.75,80,0.10927535518153302,0.0790705347541304,0.9840868068939805,-0.015913193106019574,6,0.075
hep,mcmc_is_no_oracle,4750000,4.75,80,0.042617377595121866,0.03345084492048772,1.0005847257450522,0.0005847257450522031,1,0.0125
hep,samc,4750000,4.75,80,0.05601809296670227,0.03802049100832117,0.9949834518782652,-0.005016548121734722,4,0.05
gwas,mcmc_is_no_oracle,5000000,5.0,80,0.06837256565389338,0.04324312294133348,1.0138742718229627,0.013874271822962836,13,0.1625
gwas,samc,5000000,5.0,80,0.10952849031274654,0.05955080224802689,0.9895347879631414,-0.010465212036858665,10,0.125
hep,mcmc_is_no_oracle,5000000,5.0,80,0.04334650408319063,0.03285854040305225,1.0016334888288192,0.0016334888288192142,1,0.0125
hep,samc,5000000,5.0,80,0.05936482025170443,0.042707016255422836,0.998029204786862,-0.0019707952131379908,4,0.05
