threshold_band,p_half,n_scenarios,min_p_over_p0,median_p_over_p0,max_p_over_p0
significant,Lower p-value half,40,0.010019229785304,0.026281988150105,0.068828999578356
significant,Higher p-value half,40,0.07250871624664,0.19091373391335953,0.49961790713685605
non_significant,Lower p-value half,40,1.502085794151945,2.394589687519937,3.818353227101814
non_significant,Higher p-value half,40,3.908419074459067,6.269241232519671,9.975398790759034
