threshold_band,p_half,checkpoint,budget_millions,n_scenarios,n_bootstrap,bootstrap_seed,bootstrap_pairing,observed_rrmse,bca_ci95_low,bca_ci95_high,percentile_ci95_low,percentile_ci95_high,bootstrap_mean_rrmse,bootstrap_median_rrmse,bca_bias_correction_z0,bca_acceleration,bca_alpha_low,bca_alpha_high
significant,Higher p-value half,2750000,2.75,40,1000000,20280804,same resampled scenario rows at every checkpoint within curve,0.17012418094514792,0.14508971334133428,0.1992594670636132,0.14237801511910006,0.19629281499901904,0.16957528274955416,0.16964317022884728,0.035009707693215,0.03515567787716777,0.03853598238016658,0.9853880631639214
significant,Higher p-value half,3000000,3.0,40,1000000,20280804,same resampled scenario rows at every checkpoint within curve,0.1650211323504687,0.13776262584388252,0.21315334352602971,0.1311636345621336,0.20063107284493537,0.16405408999523155,0.16340274515448017,0.08818706235243222,0.0888681207697411,0.06467870886460353,0.9952302058374402
significant,Higher p-value half,3250000,3.25,40,1000000,20280804,same resampled scenario rows at every checkpoint within curve,0.15514894742208915,0.13486991206347348,0.18861967186684833,0.13053239240892642,0.1811581373075597,0.15461772150011946,0.15417982487687654,0.07450068013899577,0.0755362641234209,0.057523300719786986,0.9934010530462236
significant,Higher p-value half,3500000,3.5,40,1000000,20280804,same resampled scenario rows at every checkpoint within curve,0.14418909010209618,0.12171872205157118,0.17646311160487574,0.11767956438488437,0.17068304787196759,0.14356567632241105,0.1433657341839687,0.06006985351515215,0.06270700751461865,0.050755422770673145,0.9911801430885975
significant,Higher p-value half,3750000,3.75,40,1000000,20280804,same resampled scenario rows at every checkpoint within curve,0.14208680639047663,0.11904385422306629,0.17155811164546664,0.11572995511480426,0.1674150339888019,0.14148880853369653,0.1414658443044286,0.047199783592013315,0.048805549304241,0.04435450144823602,0.988467005756907
significant,Higher p-value half,4000000,4.0,40,1000000,20280804,same resampled scenario rows at every checkpoint within curve,0.1379653747311951,0.11749123331378146,0.16142613790915275,0.1154619486610195,0.15920070073330939,0.13753156432506422,0.13760654377912068,0.0314658831084161,0.03362909179001884,0.03757241460256847,0.9848380766734288
significant,Higher p-value half,4250000,4.25,40,1000000,20280804,same resampled scenario rows at every checkpoint within curve,0.1383134025972315,0.11661736076069089,0.1644863802740284,0.11396724589646524,0.16145598671808636,0.13780392147340825,0.1378394911148505,0.03908076068380393,0.040850275711420796,0.040750690649151926,0.9866503726840379
significant,Higher p-value half,4500000,4.5,40,1000000,20280804,same resampled scenario rows at every checkpoint within curve,0.12977181236544166,0.10691194022485434,0.16258524339321406,0.10261135334593209,0.15642716406144455,0.12904639381511265,0.12888553278042078,0.06360594236880766,0.06550473175163059,0.05227177507806727,0.9917213817796144
significant,Higher p-value half,4750000,4.75,40,1000000,20280804,same resampled scenario rows at every checkpoint within curve,0.11880952802888806,0.09729843417761762,0.15193978557735038,0.09271056326657563,0.14478410251719567,0.1180637829234336,0.11782310928163978,0.0728015971368744,0.07483849505653366,0.05696001546018569,0.9932499327474594
significant,Higher p-value half,5000000,5.0,40,1000000,20280804,same resampled scenario rows at every checkpoint within curve,0.10609842076800793,0.08704290041368548,0.13198144110422877,0.08373036012528698,0.12765168694152637,0.10550327011949753,0.10544356936391291,0.05747351900963354,0.05907676518912336,0.04918631735921694,0.990559989076002
