scenario,checkpoint,checkpoint_millions,n_chains,exact_p,p_over_p0,empirical_sd,aggregate_obm_sd,empirical_relative_sd,aggregate_obm_relative_sd,obm_over_empirical_sd_ratio,mean_obm_mcse,median_obm_mcse,relative_bias,relative_rmse,beta_used,sigma_t
gwas_additive_score_near_v04_n140,250000,0.25,30,4.470911347597148e-08,0.8941822695194296,1.720167524682022e-08,1.4874927714149334e-08,0.3847465071313729,0.3327045999725254,0.8647371549988428,1.4101414153165659e-08,1.3308828031976207e-08,0.03197393924639358,0.37962860585366487,2.509765625,3.90823356604951
gwas_additive_score_near_v04_n140,500000,0.5,30,4.470911347597148e-08,0.8941822695194296,9.843012699282321e-09,9.00802478260521e-09,0.2201567406290076,0.20148072914589316,0.9151694768474705,8.837170896044637e-09,8.484354975566846e-09,0.007111713780239448,0.21657316062353446,2.509765625,3.90823356604951
gwas_additive_score_near_v04_n140,750000,0.75,30,4.470911347597148e-08,0.8941822695194296,7.426904038153708e-09,7.0308782795883625e-09,0.16611611058101686,0.15725827986652088,0.946676871475534,6.966263052538768e-09,6.806701836800406e-09,-0.0051130608280793854,0.16340406006515698,2.509765625,3.90823356604951
gwas_additive_score_near_v04_n140,1000000,1.0,30,4.470911347597148e-08,0.8941822695194296,5.1422222887803715e-09,5.993124216906958e-09,0.1150150805728683,0.13404703763871118,1.1654735793867057,5.961251584371732e-09,5.892106765642011e-09,-0.012689992267792216,0.11379172071948189,2.509765625,3.90823356604951
gwas_additive_score_near_v04_n140,1250000,1.25,30,4.470911347597148e-08,0.8941822695194296,4.002577422131658e-09,5.253056917242825e-09,0.08952486665348013,0.11749409703831488,1.3124185651467541,5.2296197911926225e-09,5.09098691495175e-09,-0.02948591672534895,0.09282760532018572,2.509765625,3.90823356604951
gwas_additive_score_near_v04_n140,1500000,1.5,30,4.470911347597148e-08,0.8941822695194296,3.982925532244639e-09,4.784840387720212e-09,0.08908531667453498,0.10702158946389717,1.2013381493034447,4.766759088221404e-09,4.764242403605846e-09,-0.012619258107280817,0.08849236991937187,2.509765625,3.90823356604951
gwas_additive_score_near_v04_n140,1750000,1.75,30,4.470911347597148e-08,0.8941822695194296,4.226825188323028e-09,4.422025414735132e-09,0.09454057259700975,0.09890657789740588,1.0461812868323397,4.404510699279418e-09,4.387663555997502e-09,-0.007270583775129347,0.09323545781069184,2.509765625,3.90823356604951
gwas_additive_score_near_v04_n140,2000000,2.0,30,4.470911347597148e-08,0.8941822695194296,4.0177632599168225e-09,4.1022116177802395e-09,0.08986452531822475,0.09175336522798506,1.021018749090051,4.0872886995770665e-09,4.105605160993445e-09,-0.0047055452589560565,0.08847930437771845,2.509765625,3.90823356604951
gwas_additive_score_near_v04_n140,2250000,2.25,30,4.470911347597148e-08,0.8941822695194296,3.6731245767840748e-09,3.904795977451185e-09,0.08215605927319859,0.08733780819764596,1.0630720237836162,3.88770554864858e-09,3.839612569121317e-09,0.0012029073931638656,0.08078414319853335,2.509765625,3.90823356604951
gwas_additive_score_near_v04_n140,2500000,2.5,30,4.470911347597148e-08,0.8941822695194296,3.6035992314767456e-09,3.6615604642545757e-09,0.08060099946766935,0.08189740702916083,1.0160842616103227,3.6468203133593893e-09,3.576678432953301e-09,-0.004649734955297302,0.079382557570931,2.509765625,3.90823356604951
gwas_additive_score_near_v04_n140,2750000,2.75,30,4.470911347597148e-08,0.8941822695194296,3.6770762124938265e-09,3.498652305661682e-09,0.08224444473653093,0.07825367209622713,0.9514766905766319,3.486813573345803e-09,3.4670372249337205e-09,0.0005873981640913684,0.08086422016950878,2.509765625,3.90823356604951
gwas_additive_score_near_v04_n140,3000000,3.0,30,4.470911347597148e-08,0.8941822695194296,3.625582198112773e-09,3.3537359603384896e-09,0.08109268818450875,0.07501235653310204,0.9250199766769078,3.3427392383717048e-09,3.308385585189492e-09,0.008164141100743816,0.08014659365398188,2.509765625,3.90823356604951
gwas_additive_score_near_v04_n140,3250000,3.25,30,4.470911347597148e-08,0.8941822695194296,3.4755937409792657e-09,3.2038913181201343e-09,0.07773792568817527,0.07166081071685838,0.9218256093467996,3.194597902948186e-09,3.141353795794503e-09,0.008209214307026036,0.07687090988682864,2.509765625,3.90823356604951
gwas_additive_score_near_v04_n140,3500000,3.5,30,4.470911347597148e-08,0.8941822695194296,3.3299180101928254e-09,3.0620806070666846e-09,0.0744796250988618,0.0684889582682594,0.9195663670077477,3.0551803667379367e-09,3.0583273277245837e-09,0.004392464248621719,0.07335939711593546,2.509765625,3.90823356604951
gwas_additive_score_near_v04_n140,3750000,3.75,30,4.470911347597148e-08,0.8941822695194296,3.1408204288027172e-09,2.9695824955656584e-09,0.07025011646653928,0.06642007109270093,0.9454798715435206,2.962784959337857e-09,2.9753893111872507e-09,0.004260209269480342,0.0692006186229335,2.509765625,3.90823356604951
gwas_additive_score_near_v04_n140,4000000,4.0,30,4.470911347597148e-08,0.8941822695194296,2.9320068663458296e-09,2.8720843801287783e-09,0.06557962434038445,0.06423934980666425,0.9795626378284261,2.86658216536723e-09,2.8713157999250416e-09,0.0027470333560182247,0.06453585889460338,2.509765625,3.90823356604951
gwas_additive_score_near_v04_n140,4250000,4.25,30,4.470911347597148e-08,0.8941822695194296,2.9046080903619167e-09,2.7763308434283457e-09,0.06496680127471043,0.06209764917214161,0.9558366420037109,2.7712454182938682e-09,2.7554327326214684e-09,-0.0007712548851266376,0.06387950056971814,2.509765625,3.90823356604951
gwas_additive_score_near_v04_n140,4500000,4.5,30,4.470911347597148e-08,0.8941822695194296,2.601569900769982e-09,2.677874629787114e-09,0.05818880533536352,0.05989549829088681,1.0293302628518834,2.673638699806065e-09,2.670801747887777e-09,-0.004795245394913494,0.057411382807555734,2.509765625,3.90823356604951
gwas_additive_score_near_v04_n140,4750000,4.75,30,4.470911347597148e-08,0.8941822695194296,2.501077695211058e-09,2.621570406592705e-09,0.05594111582094421,0.05863615273878434,1.0481763167982987,2.617039986050553e-09,2.6029053053126045e-09,0.00020283283272282127,0.055001236038904125,2.509765625,3.90823356604951
