checkpoint,checkpoint_millions,n_scenarios,median_sd_ratio,geometric_mean_sd_ratio,q25_sd_ratio,q75_sd_ratio,min_sd_ratio,max_sd_ratio,median_empirical_relative_sd,median_obm_relative_sd
250000,0.25,20,0.9936650430952862,0.9837528166178604,0.9075325684206856,1.0432135845521149,0.8110243463923563,1.2019416201628952,0.3310926346728447,0.3305252188904425
500000,0.5,20,0.9426195487258724,0.9588989330655121,0.8592976907692358,1.0652143441680872,0.7903505094874631,1.298810784541421,0.21417860907192782,0.20017002263058142
750000,0.75,20,0.9554551299160514,0.9871050652601289,0.8683164145127862,1.1402589472378677,0.7728615786152531,1.4240790038711806,0.16696203671539078,0.15942217461395652
1000000,1.0,20,0.991185788148297,1.0224863160062079,0.9373364542461293,1.128991791592924,0.8430864189999369,1.2503550606971654,0.13564932004792668,0.13537020405365577
1250000,1.25,20,0.9999207908734572,1.0571540005055085,0.9519454088507787,1.1950182032327543,0.8988088079059321,1.3994880661703943,0.12092417215752263,0.11923914662650018
1500000,1.5,20,1.0723323521136767,1.0694452053224186,0.9435552904066211,1.202494819030353,0.8849076157061135,1.3250138473491797,0.10447912948058462,0.10785295946401216
1750000,1.75,20,1.0457537435445845,1.0530076405420092,0.9906985354983473,1.0647795464443999,0.8513079588060544,1.3537301481158652,0.0973605782873071,0.09884927239460647
2000000,2.0,20,1.0544384823892496,1.0656684931084999,0.9992017039640363,1.2102734690284047,0.7617168990331638,1.4426287258309007,0.08891384137941064,0.09204363677056798
2250000,2.25,20,1.0536292857576122,1.0473807466860314,1.0272531892663357,1.1089054459267158,0.7740099432927581,1.2912556501862031,0.0821202695128316,0.08734802530078314
2500000,2.5,20,1.0432589335683535,1.0382044213174166,0.9647264442846123,1.0943262719953448,0.8254811699462687,1.328926986553398,0.08079707031273897,0.08250021056326329
2750000,2.75,20,1.0133549087446685,1.0171919538697307,0.9478968400252906,1.0975845597739435,0.8235298436921721,1.241262974089268,0.07552661125160526,0.07943779133162265
3000000,3.0,20,0.9750983518397379,1.0240851654993075,0.9213573415508003,1.150678345196738,0.7869140610454223,1.3065456341572363,0.07404200563018352,0.07626392636518646
3250000,3.25,20,1.0046260329659882,1.0133461604021425,0.9128989787429105,1.1169551102648176,0.8127887919888548,1.3631821553847594,0.07046676180325966,0.07259733551591932
3500000,3.5,20,0.9949092973651394,0.9958737037255759,0.9416538618155009,1.0696032072002608,0.7742228749625978,1.285548342527001,0.07020313276093365,0.07010157000795816
3750000,3.75,20,1.0033665651827408,1.0149829510753117,0.9490665426653401,1.049836951559028,0.7580133512199171,1.4454928206728759,0.0686306586937549,0.06746631551983709
4000000,4.0,20,0.985894542564192,1.0138509641599656,0.9615174058222009,1.0729950102628978,0.708954721475676,1.5145034731861895,0.06586629048891313,0.06512624146462662
4250000,4.25,20,1.0183229304591495,1.039025613885998,0.9542295452047449,1.0875252176724586,0.7583342699656034,1.5802695129395834,0.06362757050531856,0.06302960155278323
4500000,4.5,20,1.030242784405626,1.0446473595537082,0.9699165289760251,1.1315138645678269,0.7431218203216988,1.557537251073526,0.059561711801534065,0.06125115365510225
4750000,4.75,20,1.0404948055643957,1.0440039129119467,0.9845159029155568,1.1246793047872778,0.765440935447925,1.5430235076295475,0.05878897975794658,0.05961943304305173
5000000,5.0,20,1.0514914613176263,1.0317182165693508,0.9524871295517268,1.0782872725512376,0.809134331322669,1.492681581133296,0.05793576694633526,0.05812645995018541
